37 Q0 stem_1065 parsed_punctuatedStemmed_0.27377416880842054 1 TfIdf
37 Q0 stem_2265 parsed_punctuatedStemmed_0.18397530616946592 34 TfIdf
37 Q0 stem_242 parsed_punctuatedStemmed_0.18293412666213207 35 TfIdf
37 Q0 stem_961 parsed_punctuatedStemmed_0.18088650439127782 36 TfIdf
37 Q0 stem_1233 parsed_punctuatedStemmed_0.17970560165141772 37 TfIdf
37 Q0 stem_1233 parsed_punctuatedStemmed_0.17970560165141772 38 TfIdf
37 Q0 stem_1233 parsed_punctuatedStemmed_0.17970560165141772 39 TfIdf
37 Q0 stem_1233 parsed_punctuatedStemmed_0.17970560165141772 40 TfIdf
37 Q0 stem_1233 parsed_punctuatedStemmed_0.17970560165141772 41 TfIdf
37 Q0 stem_1233 parsed_punctuatedStemmed_0.17970560165141772 42 TfIdf
37 Q0 stem_1233 parsed_punctuatedStemmed_0.17970560165141772 43 TfIdf
37 Q0 stem_1305 parsed_punctuatedStemmed_0.17748701397670885 44 TfIdf
37 Q0 stem_1305 parsed_punctuatedStemmed_0.17748701397670885 45 TfIdf
37 Q0 stem_1305 parsed_punctuatedStemmed_0.17748701397670885 46 TfIdf
37 Q0 stem_1305 parsed_punctuatedStemmed_0.17748701397670885 47 TfIdf
37 Q0 stem_1305 parsed_punctuatedStemmed_0.17748701397670885 48 TfIdf
37 Q0 stem_1305 parsed_punctuatedStemmed_0.17748701397670885 49 TfIdf
37 Q0 stem_1305 parsed_punctuatedStemmed_0.17748701397670885 50 TfIdf
37 Q0 stem_1868 parsed_punctuatedStemmed_0.17672378821961707 51 TfIdf
37 Q0 stem_1635 parsed_punctuatedStemmed_0.1753225381965051 52 TfIdf
37 Q0 stem_1635 parsed_punctuatedStemmed_0.1753225381965051 53 TfIdf
37 Q0 stem_1635 parsed_punctuatedStemmed_0.1753225381965051 54 TfIdf
37 Q0 stem_1635 parsed_punctuatedStemmed_0.1753225381965051 55 TfIdf
37 Q0 stem_1635 parsed_punctuatedStemmed_0.1753225381965051 56 TfIdf
37 Q0 stem_1635 parsed_punctuatedStemmed_0.1753225381965051 57 TfIdf
37 Q0 stem_1635 parsed_punctuatedStemmed_0.1753225381965051 58 TfIdf
37 Q0 stem_1254 parsed_punctuatedStemmed_0.1742599773589505 59 TfIdf
37 Q0 stem_1254 parsed_punctuatedStemmed_0.1742599773589505 60 TfIdf
37 Q0 stem_1254 parsed_punctuatedStemmed_0.1742599773589505 61 TfIdf
37 Q0 stem_1254 parsed_punctuatedStemmed_0.1742599773589505 62 TfIdf
37 Q0 stem_1254 parsed_punctuatedStemmed_0.1742599773589505 63 TfIdf
37 Q0 stem_1254 parsed_punctuatedStemmed_0.1742599773589505 64 TfIdf
37 Q0 stem_1254 parsed_punctuatedStemmed_0.1742599773589505 65 TfIdf
37 Q0 stem_2984 parsed_punctuatedStemmed_0.17392688583153562 66 TfIdf
37 Q0 stem_1232 parsed_punctuatedStemmed_0.16882740409852598 67 TfIdf
37 Q0 stem_2875 parsed_punctuatedStemmed_0.16427103430654427 68 TfIdf
37 Q0 stem_2875 parsed_punctuatedStemmed_0.16427103430654427 69 TfIdf
37 Q0 stem_2875 parsed_punctuatedStemmed_0.16427103430654427 70 TfIdf
37 Q0 stem_2875 parsed_punctuatedStemmed_0.16427103430654427 71 TfIdf
37 Q0 stem_1870 parsed_punctuatedStemmed_0.16338135880502513 72 TfIdf
37 Q0 stem_963 parsed_punctuatedStemmed_0.16336872877401612 73 TfIdf
37 Q0 stem_963 parsed_punctuatedStemmed_0.16336872877401612 74 TfIdf
37 Q0 stem_963 parsed_punctuatedStemmed_0.16336872877401612 75 TfIdf
37 Q0 stem_963 parsed_punctuatedStemmed_0.16336872877401612 76 TfIdf
37 Q0 stem_963 parsed_punctuatedStemmed_0.16336872877401612 77 TfIdf
37 Q0 stem_963 parsed_punctuatedStemmed_0.16336872877401612 78 TfIdf
37 Q0 stem_963 parsed_punctuatedStemmed_0.16336872877401612 79 TfIdf
37 Q0 stem_2065 parsed_punctuatedStemmed_0.162390836996559 80 TfIdf
37 Q0 stem_1043 parsed_punctuatedStemmed_0.16188664616745035 81 TfIdf
37 Q0 stem_2727 parsed_punctuatedStemmed_0.1609027193608517 82 TfIdf
37 Q0 stem_371 parsed_punctuatedStemmed_0.16038932067495854 83 TfIdf
37 Q0 stem_371 parsed_punctuatedStemmed_0.16038932067495854 84 TfIdf
37 Q0 stem_696 parsed_punctuatedStemmed_0.15981117634479072 85 TfIdf
37 Q0 stem_3048 parsed_punctuatedStemmed_0.15973831257903798 86 TfIdf
37 Q0 stem_3048 parsed_punctuatedStemmed_0.15973831257903798 87 TfIdf
37 Q0 stem_3048 parsed_punctuatedStemmed_0.15973831257903798 88 TfIdf
37 Q0 stem_3048 parsed_punctuatedStemmed_0.15973831257903798 89 TfIdf
37 Q0 stem_3048 parsed_punctuatedStemmed_0.15973831257903798 90 TfIdf
37 Q0 stem_3048 parsed_punctuatedStemmed_0.15973831257903798 91 TfIdf
37 Q0 stem_3048 parsed_punctuatedStemmed_0.15973831257903798 92 TfIdf
37 Q0 stem_2422 parsed_punctuatedStemmed_0.15844201702448427 93 TfIdf
37 Q0 stem_183 parsed_punctuatedStemmed_0.15769026373060704 94 TfIdf
37 Q0 stem_183 parsed_punctuatedStemmed_0.15769026373060704 95 TfIdf
37 Q0 stem_2975 parsed_punctuatedStemmed_0.15581589693617096 96 TfIdf
37 Q0 stem_2999 parsed_punctuatedStemmed_0.154785756476059 97 TfIdf
37 Q0 stem_2956 parsed_punctuatedStemmed_0.1536821834668631 98 TfIdf
37 Q0 stem_2956 parsed_punctuatedStemmed_0.1536821834668631 99 TfIdf
37 Q0 stem_2956 parsed_punctuatedStemmed_0.1536821834668631 100 TfIdf
